number,source,year,fert_type,ISO,Town,ppp_price_kg,rel_price,longitude,latitude,acc50,acc100,acc250,distPort,popD,ral_pop,prec,crop_ha,nat_avg
23797,Afr,2016,Urea,TZA,Kilombero,0.96,1,37.1258593,-8.0677121,16.20000076,18.10000038,18.89999962,27.60000038,5,0,1388,0,0.96
23808,Afr,2016,Urea,TZA,Kiteto,0.9,0.94,36.7819505,-5.5527661,7.199999809,7.199999809,9.199999809,25.10000038,8,10,1010,0.596250737,0.96
238141,Afr,2016,Urea,TZA,Kongwa,0.86,0.9,36.417495,-6.197011,1.799999952,1.799999952,4.599999905,8.899999619,95,29,1010,0.968449347,0.96
23815,Afr,2016,Urea,TZA,Kongwa,0.28,0.29,36.417495,-6.197011,1.799999952,1.799999952,4.599999905,8.899999619,95,29,1010,0.968449347,0.96
23822,Afr,2016,Urea,TZA,Mbarali,1,1.04,34.4308824,-8.9029857,2.099999905,3.599999905,3.599999905,15.69999981,46,55,1346,0,0.96
23836,Afr,2016,Urea,TZA,Kinondoni,1.06,1.1,39.112735,-6.77424,0.699999988,0.699999988,0.699999988,1.700000048,2269,171,1279,0,0.96
23845,Afr,2016,Urea,TZA,Morogoro Urban,0.98,1.02,37.6591144,-6.8277556,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,0.96
238541,Afr,2016,Urea,TZA,Simanjiro,1.76,1.83,37.1258593,-4.439505,4.300000191,4.300000191,8.699999809,20.89999962,9,10,826,0,0.96
23858,Afr,2016,Urea,TZA,Geita,1.12,1.17,32.232937,-2.886514,0.400000006,0.400000006,0.400000006,28.29999924,953,54,1213,0.000880857,0.96
238702,Afr,2016,Urea,TZA,Musoma Urban,1.44,1.5,33.800019,-1.500152,0.400000006,0.400000006,4.599999905,23.60000038,680,48,1540,0.99859,0.96
238872,Afr,2016,Urea,TZA,Ludewa,1.02,1.06,34.6856509,-9.8217342,10.19999981,14.60000038,15,45.40000153,25,32,1569,0.263238224,0.96
23888,Afr,2016,Urea,TZA,Ludewa,0.96,1,34.6856509,-9.8217342,10.19999981,14.60000038,15,45.40000153,25,32,1569,0.263238224,0.96
238931,Afr,2016,Urea,TZA,Namtumbo,0.88,0.92,36.130088,-10.46641,9.300000191,9.300000191,32.5,40.09999847,131,0,1439,0.698078715,0.96
238982,Afr,2016,Urea,TZA,Dodoma,1.2,1.25,35.751812,-6.162996,0.699999988,0.699999988,5.400000095,10.19999981,224,24,931,0.331658362,0.96
23909,Afr,2016,Urea,TZA,Kilolo,0.92,0.96,35.84289,-8.005491,3.599999905,3.599999905,9.199999809,22.5,21,0,1324,0.401475059,0.96
23912,Afr,2016,Urea,TZA,Malangali,0.96,1,34.85228,-8.563663,3.400000095,5.199999809,6.900000095,16.29999924,49,48,1299,0.816551215,0.96
23952,Afr,2017,Urea,TZA,Morogoro,0.62,0.89,37.661493,-6.816536,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,0.7
240512,Afr,2017,Urea,TZA,Njombe,0.66,0.94,34.766688,-9.333318,0.899999976,4.800000191,5.199999809,17,106,54,1522,0.397693404,0.7
24070,Afr,2017,Urea,TZA,Songea,0.74,1.06,35.642366,-10.646216,1.100000024,1.100000024,25.60000038,25.70000076,241,44,1411,0.534927288,0.7
24206,Afr,2017,Urea,TZA,Mbeya,0.7,1,33.449365,-8.899421,0.400000006,0.400000006,0.400000006,18.79999924,1074,13,1300,0.740308581,0.7
24247,Afr,2017,Urea,TZA,Sumbawanga,0.74,1.06,31.616483,-7.966793,0.300000012,0.300000012,10.69999981,27.20000076,1624,54,1283,0.587869308,0.7
24261,Afr,2018,Urea,TZA,Dar es Salaam,0.84,0.95,39.2083284,-6.792354,0.300000012,0.300000012,0.300000012,1.5,8088,0,1281,0.006936222,0.88
24282,Afr,2018,Urea,TZA,Morogoro,0.82,0.93,37.661493,-6.816536,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,0.88
24301,Afr,2018,Urea,TZA,Tarakea Rombo,0.88,1,37.565349,-3.002242,6.699999809,6.699999809,11.60000038,15.69999981,154,192,777,0.361105316,0.88
24308,Afr,2018,Urea,TZA,Arusha,0.88,1,36.694023,-3.372658,0.100000001,0.100000001,6.199999809,10.30000019,6449,0,754,0.00124011,0.88
24381,Afr,2018,Urea,TZA,Njombe,0.88,1,34.766688,-9.333318,0.899999976,4.800000191,5.199999809,17,106,54,1522,0.397693404,0.88
24400,Afr,2018,Urea,TZA,Songea,0.88,1,35.642366,-10.646216,1.100000024,1.100000024,25.60000038,25.70000076,241,44,1411,0.534927288,0.88
244091,Afr,2018,Urea,TZA,Siha,0.86,0.98,37.3699163,-3.4704552,1.100000024,1.100000024,7.5,14.69999981,77,277,829,1,0.88
24439,Afr,2018,Urea,TZA,Mvomero,0.9,1.02,38.693748,-6.235617,1.899999976,2.799999952,3.200000048,14.5,30,0,1148,0,0.88
24518,Afr,2018,Urea,TZA,Geita,0.9,1.02,32.232937,-2.886514,0.400000006,0.400000006,0.400000006,28.29999924,953,54,1213,0.000880857,0.88
24536,Afr,2018,Urea,TZA,Mbeya,0.9,1.02,33.449365,-8.899421,0.400000006,0.400000006,0.400000006,18.79999924,1074,13,1300,0.740308581,0.88
